response_set,response_id,parent_response_id,date_time,page,question,response,optional_text,user,branch,desk,library
3806868,8744449,,8/27/14 0:30,Patron Count,Patron Count,,0,voig1,Life Sciences,LSL Desk,Pennsylvania State University
3808407,8748961,,8/27/14 0:30,Patron Count,Patron Count for Access Services,NML Desk,4,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806866,8744447,,8/27/14 0:33,Patron Count,Patron Count for Access Services,NML Desk,1,nope1,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806871,8744452,,8/27/14 0:34,Patron Count,Patron Count,,1,uria1,Education & Behavioral Sciences,EBSL Desk,Pennsylvania State University
3806867,8744448,,8/27/14 0:34,Patron Count,Patron Count,,0,bran1,Maps,Maps Desk,Pennsylvania State University
3806869,8744450,,8/27/14 0:39,Patron Count,Patron Count for Access Services,Sidewater Commons,6,lang2,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806870,8744451,,8/27/14 0:39,Patron Count,Patron Count for Access Services,Leisure Reading,1,lang2,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806881,8744462,,8/27/14 0:45,Patron Count,Patron Count by Location,KC Service Desk 1,6,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3853585,8880710,,8/27/14 0:58,Reference,Question Type,Reference 5 - 15 mins,,atwi1,Arts & Humanities,A&H Office,Pennsylvania State University
3853585,8880712,,8/27/14 0:58,Reference,Contact Type,Email,,atwi1,Arts & Humanities,A&H Office,Pennsylvania State University
3853585,8880711,,8/27/14 0:58,Reference,Notes:,,,atwi1,Arts & Humanities,A&H Office,Pennsylvania State University
3853585,8880713,,8/27/14 0:58,Reference,Service Location,Office,,atwi1,Arts & Humanities,A&H Office,Pennsylvania State University
3806882,8744463,,8/27/14 1:27,Patron Count,Patron Count by Location,KC Service Desk 1,3,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806873,8744454,,8/27/14 1:30,Patron Count,Patron Count,,0,voig1,Life Sciences,LSL Desk,Pennsylvania State University
3806877,8744458,,8/27/14 1:30,Patron Count,Patron Count,,1,uria1,Education & Behavioral Sciences,EBSL Desk,Pennsylvania State University
3806875,8744456,,8/27/14 1:30,Patron Count,Patron Count for Access Services,Leisure Reading,1,lang2,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806876,8744457,,8/27/14 1:30,Patron Count,Patron Count for Access Services,Sidewater Commons,4,lang2,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806872,8744453,,8/27/14 1:34,Patron Count,Patron Count for Access Services,NML Desk,3,nope1,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806874,8744455,,8/27/14 1:40,Patron Count,Patron Count,,0,bran1,Maps,Maps Desk,Pennsylvania State University
3806883,8744464,,8/27/14 2:32,Patron Count,Patron Count by Location,KC Service Desk 1,3,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806878,8744459,,8/27/14 2:33,Patron Count,Patron Count for Access Services,Sidewater Commons,1,nope1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806879,8744460,,8/27/14 2:33,Patron Count,Patron Count for Access Services,Leisure Reading,0,nope1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806880,8744461,,8/27/14 2:38,Patron Count,Patron Count for Access Services,NML Desk,1,lang2,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806884,8744465,,8/27/14 3:45,Patron Count,Patron Count by Location,KC Service Desk 1,3,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806885,8744466,,8/27/14 4:30,Patron Count,Patron Count for Access Services,Sidewater Commons,0,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806886,8744467,,8/27/14 4:30,Patron Count,Patron Count for Access Services,Leisure Reading,0,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806887,8744468,,8/27/14 4:35,Patron Count,Patron Count for Access Services,NML Desk,2,bran1,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806888,8744469,,8/27/14 4:54,Patron Count,Patron Count by Location,KC Service Desk 1,4,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806889,8744470,,8/27/14 5:30,Patron Count,Patron Count for Access Services,Sidewater Commons,1,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806890,8744471,,8/27/14 5:30,Patron Count,Patron Count for Access Services,Leisure Reading,0,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806891,8744472,,8/27/14 5:30,Patron Count,Patron Count for Access Services,Franklin Atrium,0,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806892,8744473,,8/27/14 5:53,Patron Count,Patron Count for Access Services,NML Desk,1,bran1,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806893,8744474,,8/27/14 6:30,Patron Count,Patron Count for Access Services,NML Desk,2,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806894,8744475,,8/27/14 6:34,Patron Count,Patron Count for Access Services,Leisure Reading,0,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806895,8744476,,8/27/14 6:34,Patron Count,Patron Count for Access Services,Sidewater Commons,2,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806896,8744477,,8/27/14 6:34,Patron Count,Patron Count for Access Services,Franklin Atrium,0,nope1,Access Services,AS Lending Desk,Pennsylvania State University
3806897,8744478,,8/27/14 6:36,Patron Count,Patron Count for Access Services,KC Service Desk 1,1,blak1,Access Services,AS Lending Desk,Pennsylvania State University
3806898,8744479,,8/27/14 7:10,Reference,Question Type,Policy & Service < 5 mins,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806898,8744481,,8/27/14 7:10,Reference,Contact Type,In-person,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806898,8744480,,8/27/14 7:10,Reference,Notes:,,Where can I borrow a carrel key,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806899,8744482,,8/27/14 7:11,Reference,Question Type,Policy & Service < 5 mins,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806899,8744484,,8/27/14 7:11,Reference,Contact Type,In-person,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806899,8744483,,8/27/14 7:11,Reference,Notes:,,When does upstairs open up,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806912,8744509,,8/27/14 7:23,Reference,Question Type,Policy & Service < 5 mins,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806912,8744511,,8/27/14 7:23,Reference,Contact Type,In-person,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806912,8744510,,8/27/14 7:23,Reference,Notes:,,Where can I get course reserves,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806913,8744512,,8/27/14 7:26,Patron Count,Patron Count for Access Services,KC Service Desk 1,11,blak1,Access Services,AS Lending Desk,Pennsylvania State University
3806914,8744513,,8/27/14 7:30,Patron Count,Patron Count for Access Services,NML Desk,5,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806915,8744514,,8/27/14 7:33,Reference,Question Type,Reference 31 - 45 mins,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806915,8744516,,8/27/14 7:33,Reference,Contact Type,Other Contact Type,ill request,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806915,8744515,,8/27/14 7:33,Reference,Notes:,,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806915,8744517,,8/27/14 7:33,Reference,Service Location,Office,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806916,8744518,,8/27/14 7:39,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806916,8744520,,8/27/14 7:39,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806916,8744519,,8/27/14 7:39,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806917,8744521,,8/27/14 7:43,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806917,8744523,,8/27/14 7:43,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806917,8744522,,8/27/14 7:43,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806918,8744524,,8/27/14 7:43,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806918,8744526,,8/27/14 7:43,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806918,8744525,,8/27/14 7:43,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806919,8744527,,8/27/14 7:43,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806919,8744529,,8/27/14 7:43,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806919,8744528,,8/27/14 7:43,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806920,8744530,,8/27/14 7:43,Reference,Question Type,Policy & Service < 5 mins,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806920,8744531,,8/27/14 7:43,Reference,Question Type,Reference < 5 mins,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806920,8744533,,8/27/14 7:43,Reference,Contact Type,In-person,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806920,8744532,,8/27/14 7:43,Reference,Notes:,,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806921,8744534,,8/27/14 7:46,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806921,8744536,,8/27/14 7:46,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806921,8744535,,8/27/14 7:46,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806922,8744537,,8/27/14 7:50,Alarms,Gate Alarms,Other reason for alarm,patrons had nothing on them,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806922,8744538,,8/27/14 7:50,Alarms,Additional Information (Optional),,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806923,8744539,,8/27/14 7:54,Reference,Question Type,Policy & Service < 5 mins,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806923,8744541,,8/27/14 7:54,Reference,Contact Type,In-person,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806923,8744540,,8/27/14 7:54,Reference,Notes:,,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806924,8744542,,8/27/14 7:59,Reference,Question Type,Policy & Service 5+ mins,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806924,8744544,,8/27/14 7:59,Reference,Contact Type,ASK Email,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806924,8744543,,8/27/14 7:59,Reference,Notes:,,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806924,8744545,,8/27/14 7:59,Reference,Service Location,Office,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3807037,8744882,,8/27/14 8:06,Patron Count,Patron Count,,4,nola1,Earth & Mineral Sciences,EMS Desk,Pennsylvania State University
3806925,8744546,,8/27/14 8:12,Reference,Question Type,Reference < 5 mins,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806925,8744548,,8/27/14 8:12,Reference,Contact Type,In-person,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806925,8744547,,8/27/14 8:12,Reference,Notes:,,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806926,8744549,,8/27/14 8:14,Reference,Question Type,Policy & Service < 5 mins,,muse1,Access Services,AS ILL Office,Pennsylvania State University
3806926,8744551,,8/27/14 8:14,Reference,Contact Type,Email,,muse1,Access Services,AS ILL Office,Pennsylvania State University
3806926,8744550,,8/27/14 8:14,Reference,Notes:,,,muse1,Access Services,AS ILL Office,Pennsylvania State University
3806926,8744552,,8/27/14 8:14,Reference,Service Location,Office,,muse1,Access Services,AS ILL Office,Pennsylvania State University
3806927,8744553,,8/27/14 8:14,Reference,Question Type,Policy & Service < 5 mins,,muse1,Access Services,AS ILL Office,Pennsylvania State University
3806927,8744555,,8/27/14 8:14,Reference,Contact Type,Email,,muse1,Access Services,AS ILL Office,Pennsylvania State University
3806927,8744554,,8/27/14 8:14,Reference,Notes:,,,muse1,Access Services,AS ILL Office,Pennsylvania State University
3806927,8744556,,8/27/14 8:14,Reference,Service Location,Office,,muse1,Access Services,AS ILL Office,Pennsylvania State University
3806928,8744557,,8/27/14 8:15,Reference,Question Type,Reference 5 - 15 mins,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806928,8744559,,8/27/14 8:15,Reference,Contact Type,ASK Chat,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806928,8744558,,8/27/14 8:15,Reference,Notes:,,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806928,8744560,,8/27/14 8:15,Reference,Service Location,Office,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806929,8744561,,8/27/14 8:16,Reference,Question Type,Policy & Service < 5 mins,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806929,8744563,,8/27/14 8:16,Reference,Contact Type,In-person,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806929,8744562,,8/27/14 8:16,Reference,Notes:,,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806930,8744564,,8/27/14 8:19,Reference,Question Type,Where is?,,coon1,Maps,Maps Desk,Pennsylvania State University
3806930,8744566,,8/27/14 8:19,Reference,Contact Type,In-person,,coon1,Maps,Maps Desk,Pennsylvania State University
3806930,8744565,,8/27/14 8:19,Reference,Notes:,,printer,coon1,Maps,Maps Desk,Pennsylvania State University
3806931,8744567,,8/27/14 8:24,Reference,Question Type,Policy & Service < 5 mins,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806931,8744569,,8/27/14 8:24,Reference,Contact Type,In-person,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806931,8744568,,8/27/14 8:24,Reference,Notes:,,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806932,8744570,,8/27/14 8:26,Patron Count,Patron Count,,6,seld1,News & Microforms,NML Desk,Pennsylvania State University
3806933,8744571,,8/27/14 8:28,Reference,Question Type,Reference < 5 mins,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806933,8744573,,8/27/14 8:28,Reference,Contact Type,In-person,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806933,8744572,,8/27/14 8:28,Reference,Notes:,,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806934,8744574,,8/27/14 8:29,Alarms,Gate Alarms,Patron Entering the Building,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806934,8744575,,8/27/14 8:29,Alarms,Additional Information (Optional),,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806935,8744576,,8/27/14 8:29,Reference,Question Type,Policy & Service 5+ mins,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806935,8744578,,8/27/14 8:29,Reference,Contact Type,ASK Chat,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806935,8744577,,8/27/14 8:29,Reference,Notes:,,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806935,8744579,,8/27/14 8:29,Reference,Service Location,Office,,butk1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3807012,8744804,,8/27/14 8:30,Patron Count,Patron Count,,6,seld1,News & Microforms,NML Desk,Pennsylvania State University
3807032,8744870,,8/27/14 8:30,Patron Count,Patron Count,,3,litz1,Education & Behavioral Sciences,EBSL Desk,Pennsylvania State University
3895918,8998745,,8/27/14 8:30,Patron Count,Patron Count,,6,roth1,Life Sciences,LSL Desk,Pennsylvania State University
3807085,8745000,,8/27/14 8:30,Patron Count,Patron Count by Location,A&H MMC Desk,5,weav2,Arts & Humanities,A&H MMC Desk,Pennsylvania State University
3806936,8744580,,8/27/14 8:30,Patron Count,Patron Count for Access Services,Franklin Atrium,12,harn1,Access Services,AS Lending Desk,Pennsylvania State University
3806937,8744581,,8/27/14 8:30,Patron Count,Patron Count for Access Services,Paterno Reading Room,6,harn1,Access Services,AS Lending Desk,Pennsylvania State University
3806938,8744582,,8/27/14 8:30,Patron Count,Patron Count for Access Services,Sidewater Commons,26,harn1,Access Services,AS Lending Desk,Pennsylvania State University
3806939,8744583,,8/27/14 8:30,Patron Count,Patron Count for Access Services,Leisure Reading,1,harn1,Access Services,AS Lending Desk,Pennsylvania State University
3806940,8744584,,8/27/14 8:30,Reference,Question Type,Policy & Service < 5 mins,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806940,8744586,,8/27/14 8:30,Reference,Contact Type,ASK Email,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806940,8744585,,8/27/14 8:30,Reference,Notes:,,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806940,8744587,,8/27/14 8:30,Reference,Service Location,Office,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806941,8744588,,8/27/14 8:31,Reference,Question Type,Reference 5 - 15 mins,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806941,8744590,,8/27/14 8:31,Reference,Contact Type,ASK Chat,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806941,8744589,,8/27/14 8:31,Reference,Notes:,,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806941,8744591,,8/27/14 8:31,Reference,Service Location,Office,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806942,8744592,,8/27/14 8:31,Reference,Question Type,Reference < 5 mins,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806942,8744594,,8/27/14 8:31,Reference,Contact Type,In-person,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806942,8744593,,8/27/14 8:31,Reference,Notes:,,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806943,8744595,,8/27/14 8:31,Reference,Question Type,Reference 5 - 15 mins,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806943,8744597,,8/27/14 8:31,Reference,Contact Type,ASK Chat,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806943,8744596,,8/27/14 8:31,Reference,Notes:,,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806943,8744598,,8/27/14 8:31,Reference,Service Location,Office,,thom1,Physical & Mathematical Sciences,PAMS Office,Pennsylvania State University
3806944,8744599,,8/27/14 8:32,Reference,Question Type,Reference 5 - 15 mins,,fox01,Research Hub,Research Hub Desk,Pennsylvania State University
3806944,8744601,,8/27/14 8:32,Reference,Contact Type,In-person,,fox01,Research Hub,Research Hub Desk,Pennsylvania State University
3806944,8744600,,8/27/14 8:32,Reference,Notes:,,,fox01,Research Hub,Research Hub Desk,Pennsylvania State University
3806945,8744602,,8/27/14 8:32,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806945,8744604,,8/27/14 8:32,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806945,8744603,,8/27/14 8:32,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806947,8744605,,8/27/14 8:32,Patron Count,Patron Count by Location,SSL Desk,3,fox01,Research Hub,Research Hub Desk,Pennsylvania State University
3806948,8744606,,8/27/14 8:33,Reference,Question Type,Reference < 5 mins,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806948,8744608,,8/27/14 8:33,Reference,Contact Type,Other Contact Type,ill request,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806948,8744607,,8/27/14 8:33,Reference,Notes:,,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806948,8744609,,8/27/14 8:33,Reference,Service Location,Office,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806949,8744610,,8/27/14 8:34,Patron Count,Patron Count by Location,KC Service Desk 1,24,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806950,8744611,,8/27/14 8:35,Patron Count,Patron Count,,7,rile1,Engineering,ENG Desk,Pennsylvania State University
3806951,8744612,,8/27/14 8:37,Reference,Question Type,Reference < 5 mins,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806951,8744614,,8/27/14 8:37,Reference,Contact Type,In-person,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806951,8744613,,8/27/14 8:37,Reference,Notes:,,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3809785,8752820,,8/27/14 8:39,Reference,Question Type,Technical problems < 5 mins,,morg2,News & Microforms,NML Desk,Pennsylvania State University
3809785,8752822,,8/27/14 8:39,Reference,Contact Type,Email,,morg2,News & Microforms,NML Desk,Pennsylvania State University
3809785,8752821,,8/27/14 8:39,Reference,Notes:,,scanner reservation,morg2,News & Microforms,NML Desk,Pennsylvania State University
3809785,8752823,,8/27/14 8:39,Reference,NML Micro Scanners,< 5 mins,,morg2,News & Microforms,NML Desk,Pennsylvania State University
3806952,8744615,,8/27/14 8:41,Patron Count,Patron Count,,6,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806953,8744616,,8/27/14 8:42,Reference,Question Type,Where is?,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806953,8744618,,8/27/14 8:42,Reference,Contact Type,In-person,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806953,8744617,,8/27/14 8:42,Reference,Notes:,,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806954,8744619,,8/27/14 8:44,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806954,8744620,,8/27/14 8:44,Reference,Question Type,Policy & Service < 5 mins,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806954,8744622,,8/27/14 8:44,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806954,8744621,,8/27/14 8:44,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806955,8744623,,8/27/14 8:44,Reference,Question Type,Where is?,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806955,8744625,,8/27/14 8:44,Reference,Contact Type,Email,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806955,8744624,,8/27/14 8:44,Reference,Notes:,,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806955,8744626,,8/27/14 8:44,Reference,Service Location,Office,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806956,8744627,,8/27/14 8:46,Reference,Question Type,Where is?,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806956,8744629,,8/27/14 8:46,Reference,Contact Type,In-person,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806956,8744628,,8/27/14 8:46,Reference,Notes:,,,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806957,8744630,,8/27/14 8:46,Patron Count,Patron Count,,2,ngo02,Architecture & Landscape Architecture,Arch/LArch Desk,Pennsylvania State University
3806958,8744631,,8/27/14 8:46,Patron Count,Patron Count,,6,holl1,Physical & Mathematical Sciences,PAMS Desk,Pennsylvania State University
3806959,8744632,,8/27/14 8:46,Reference,Question Type,Where is?,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806959,8744634,,8/27/14 8:46,Reference,Contact Type,In-person,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806959,8744633,,8/27/14 8:46,Reference,Notes:,,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806960,8744635,,8/27/14 8:49,Reference,Question Type,Policy & Service < 5 mins,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806960,8744637,,8/27/14 8:49,Reference,Contact Type,Telephone,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806960,8744636,,8/27/14 8:49,Reference,Notes:,,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806960,8744638,,8/27/14 8:49,Reference,Room Reservations,Reservation Made,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806961,8744639,,8/27/14 8:49,Reference,Question Type,Policy & Service < 5 mins,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806961,8744641,,8/27/14 8:49,Reference,Contact Type,Telephone,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806961,8744640,,8/27/14 8:49,Reference,Notes:,,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806961,8744642,,8/27/14 8:49,Reference,Room Reservations,Reservation Made,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806962,8744643,,8/27/14 8:49,Reference,Question Type,Policy & Service < 5 mins,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806962,8744645,,8/27/14 8:49,Reference,Contact Type,Telephone,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806962,8744644,,8/27/14 8:49,Reference,Notes:,,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806963,8744646,,8/27/14 8:50,Patron Count,Patron Count,,1,coon1,Maps,Maps Desk,Pennsylvania State University
3806966,8744653,,8/27/14 8:52,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806966,8744655,,8/27/14 8:52,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806966,8744654,,8/27/14 8:52,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806967,8744656,,8/27/14 8:52,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806967,8744658,,8/27/14 8:52,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806967,8744657,,8/27/14 8:52,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806968,8744659,,8/27/14 8:53,Alarms,Panel Alarms,Police notified?,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806968,8744660,,8/27/14 8:53,Alarms,Panel Alarms,Alarm reset?,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806968,8744661,,8/27/14 8:53,Alarms,Panel Alarms,Entrance / Exit breached,central lobby west,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806968,8744662,,8/27/14 8:53,Alarms,Panel Alarms,Reason,student cant read,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806968,8744663,,8/27/14 8:53,Alarms,Additional Information (Optional),,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806969,8744664,,8/27/14 8:54,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806969,8744666,,8/27/14 8:54,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806969,8744665,,8/27/14 8:54,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806975,8744682,,8/27/14 8:56,Reference,Question Type,Policy & Service < 5 mins,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
